ASPECT: asus. CATEGORY: company general. OPINION: null. SENTIMENT: negative #####  . asus has not responded to numerous request for an update of the status of repair . ##### EAIO
ASPECT: screen. CATEGORY: display operationperformance. OPINION: null. SENTIMENT: negative #####  . the screen turned black and would not shut down , just stayed in a cycle that would bring up some gray screen and then turn black again . ##### EAIO
ASPECT: power  supply issue. CATEGORY: powersupply operationperformance. OPINION: null. SENTIMENT: negative #####  . power  supply issue kept me from buying it when it was first released . ##### EAIO
ASPECT: charger. CATEGORY: powersupply quality. OPINION: null. SENTIMENT: negative #####  . this computer was great for 12 days and then the charger broke and it is no longer functional . ##### EAIO
ASPECT: null. CATEGORY: ports operationperformance. OPINION: slow. SENTIMENT: negative #####  . it started to get slow a week ago . ##### IAEO
ASPECT: computer. CATEGORY: laptop usability. OPINION: null. SENTIMENT: negative #####  . i can not even begin to use this computer because i do not have a usable interface . ##### EAIO
ASPECT: tablet mode. CATEGORY: laptop general. OPINION: like. SENTIMENT: positive #####  . i like the tablet mode the best . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: regret. SENTIMENT: negative #####  . i regret buying this . ##### IAEO
ASPECT: laptop. CATEGORY: laptop price. OPINION: null. SENTIMENT: positive #####  . the laptop is exactly as described and for the price , it is a steal . ##### EAIO
ASPECT: laptop. CATEGORY: laptop general. OPINION: stuck. SENTIMENT: negative #####  . i got this laptop today and by the time i had installed all my programs it was stuck at 10 % done . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: well. SENTIMENT: positive #####  . it travels well , great battery life , and is powerful enough for 100 % of the tasks i need to do ( web , streaming , word processing , reports , email ) . ##### IAEO
ASPECT: null. CATEGORY: laptop usability. OPINION: hard. SENTIMENT: negative #####  . maintaining proper posture while using it is hard . ##### IAEO
ASPECT: battery. CATEGORY: battery operationperformance. OPINION: null. SENTIMENT: negative #####  . the battery will need replacing soon . ##### EAIO
ASPECT: laptop. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . i already returned the first laptop because i had to press extremely hard to get the left click to work . ##### EAIO
ASPECT: feature. CATEGORY: keyboard designfeatures. OPINION: useful. SENTIMENT: positive #####  . this useful feature is present . ##### EAEO
ASPECT: 2016 model. CATEGORY: laptop designfeatures. OPINION: not like. SENTIMENT: negative #####  . this is not like other macs i ' ve had ; this one is all sharp edges and angles . ##### EAEO
ASPECT: battery. CATEGORY: battery designfeatures. OPINION: null. SENTIMENT: negative #####  . i wish the battery was bigger and / or the chromebook was lighter . ##### EAIO
ASPECT: screen. CATEGORY: display designfeatures. OPINION: nicer. SENTIMENT: positive #####  . the screen is actually nicer than expected . ##### EAEO
ASPECT: microphone, speaker. CATEGORY: multimediadevices operationperformance, multimediadevices operationperformance. OPINION: null, null. SENTIMENT: negative, negative #####  . microphone is not really working ( you have to basically yell while alsmost touching it with you lips in order for someone else to hear you ) and the speaker is only good for watching a movie in a quiet room . ##### EAIO
ASPECT: backlight. CATEGORY: keyboard designfeatures. OPINION: love. SENTIMENT: positive #####  . i love the backlight . ##### EAEO
ASPECT: screen. CATEGORY: display designfeatures. OPINION: beautiful. SENTIMENT: positive #####  . this screen is beautiful . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: slow. SENTIMENT: negative #####  . it start to get slow after six month of use . ##### IAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: negative #####  . it would not start up after 2 months of purchase and then re - set button didn ' t work . ##### IAIO
ASPECT: laptop. CATEGORY: laptop designfeatures. OPINION: null. SENTIMENT: negative #####  . laptop has no dvd drive , no such thing as a floppy disk drive anymore . ##### EAIO
ASPECT: stuff. CATEGORY: laptop general. OPINION: good. SENTIMENT: positive #####  . this is good stuff . ##### EAEO
ASPECT: programs. CATEGORY: software general. OPINION: love. SENTIMENT: positive #####  . i love how programs run more than twice as fast also i love the scratch and dent guarantee . ##### EAEO
ASPECT: null. CATEGORY: laptop portability. OPINION: null. SENTIMENT: positive #####  . i ' m a writer , and this has easily become my main computer for both work and play ( google docs easily replaces word , and android apps make it much better for gaming than i originally expected ) . ##### IAIO
ASPECT: backlit keyboard. CATEGORY: keyboard designfeatures. OPINION: awesome. SENTIMENT: positive #####  . this awesome backlit keyboard is one of the main reasons for this 5 star rating . ##### EAEO
ASPECT: computer. CATEGORY: laptop general. OPINION: favorite. SENTIMENT: positive #####  . this computer is now one of my favorite things in life , besides my family of course . ##### EAEO
ASPECT: spacebar. CATEGORY: keyboard operationperformance. OPINION: null. SENTIMENT: negative #####  . the spacebar on the keyboard keeps getting stuck down and the only way to fix it is to flip the entire keyboard over and use a thin blade to pry the spacebar up . ##### EAIO
ASPECT: acer aspire. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . my first acer aspire and if this is the representation of the acer aspire line i ' d look elsewhere . ##### EAIO
ASPECT: flip, build quality. CATEGORY: laptop general, laptop quality. OPINION: like, good. SENTIMENT: positive, positive #####  . i like the flip , build quality is good , but i have a problem - i have no idea how to work it . ##### EAEO
ASPECT: touch pad. CATEGORY: keyboard usability. OPINION: null. SENTIMENT: positive #####  , the touch pad has two modes . ##### EAIO
ASPECT: null, null. CATEGORY: laptop general, laptop general. OPINION: suck, badly. SENTIMENT: negative, negative #####  . this sucks really badly . ##### IAEO
ASPECT: asus warranty. CATEGORY: support general. OPINION: null. SENTIMENT: negative #####  . asus warranty did not cover it . ##### EAIO
ASPECT: acer product. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . i will never buy an acer product again . ##### EAIO
ASPECT: amazon. CATEGORY: support general. OPINION: null. SENTIMENT: neutral #####  . if you have a problem , go to amazon ' s website and follow the instructions for returning the item . ##### EAIO
ASPECT: keyboard backlight. CATEGORY: keyboard operationperformance. OPINION: annoying. SENTIMENT: negative #####  . keyboard backlight was annoying . ##### EAEO
ASPECT: device. CATEGORY: laptop general. OPINION: love. SENTIMENT: positive #####  . i love this device . ##### EAEO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: dead. SENTIMENT: negative #####  . this chromebook is dead after 2 months . ##### EAEO
ASPECT: amazon, laptops. CATEGORY: company general, laptop general. OPINION: null, null. SENTIMENT: negative, negative #####  . amazon should stop selling these and if you want a laptop get the macbook air or pro . ##### EAIO
ASPECT: touchpad, keyboard. CATEGORY: keyboard designfeatures, keyboard designfeatures. OPINION: love, love. SENTIMENT: positive, positive #####  . love the touchpad and the keyboard is nice enough that i don ' t mind using it to take notes during class . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: fine. SENTIMENT: positive #####  . i bought this to replace my asus ux501vw , which is a great machine by the way , but this one is fine for me now . ##### IAEO
ASPECT: asus chromebook. CATEGORY: laptop designfeatures. OPINION: beautiful. SENTIMENT: positive #####  . this asus chromebook is beautiful , and that ' s about it . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: quick. SENTIMENT: positive #####  . it ' s very quick , despite the dsl internet connection we have . ##### IAEOASPECT: ddr4 ram. CATEGORY: memory general. OPINION: upgradable. SENTIMENT: positive #####  . ddr4 ram is upgradable . ##### EAEO
ASPECT: null, null, null. CATEGORY: laptop designfeatures, laptop operationperformance, laptop operationperformance. OPINION: light, durable, strong. SENTIMENT: positive, positive, positive #####  . it ' s light weighted and very durable , the screen is brilliant and has a lot of space for work and play . ##### IAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: decent. SENTIMENT: positive #####  . the laptop is decent . ##### EAEO
ASPECT: hardware. CATEGORY: hardware quality. OPINION: defective. SENTIMENT: negative #####  . hardware defective within the first month of ownership . ##### EAEO
ASPECT: computer. CATEGORY: laptop operationperformance. OPINION: fast. SENTIMENT: positive #####  . this fast computer will allow me to stream my video games with no lag . ##### EAEO
ASPECT: battery charge. CATEGORY: battery operationperformance. OPINION: null. SENTIMENT: positive #####  . with this battery charge , i can work on my writing all day long and not have to worry about running out of power before i finish a draft . ##### EAIO
ASPECT: display. CATEGORY: display operationperformance. OPINION: sharp. SENTIMENT: positive #####  . the display is very sharp . ##### EAEO
ASPECT: second laptop. CATEGORY: laptop general. OPINION: died. SENTIMENT: negative #####  . this was the second laptop in as many months to have the same issue , where it simply refuses to charge past 90 % and then only when plugged in . ##### EAEO
ASPECT: laptop, laptop. CATEGORY: laptop designfeatures, laptop designfeatures. OPINION: good, lightweight. SENTIMENT: positive, positive #####  . the good news is that this is a very good laptop and it is lightweight . ##### EAEO
ASPECT: touchscreen, touchscreen, keyboard. CATEGORY: display general, display operationperformance, keyboard general. OPINION: good, responsive, nice. SENTIMENT: positive, positive, positive #####  . good touchscreen , very responsive , and the keyboard feels nice to type on . ##### EAEO
ASPECT: design. CATEGORY: laptop designfeatures. OPINION: sleek. SENTIMENT: positive #####  . the design is sleek and has a modern look and feel to it . ##### EAEO
ASPECT: build quality. CATEGORY: laptop quality. OPINION: excellent. SENTIMENT: positive #####  . the build quality is excellent ( was . ##### EAEO
ASPECT: fan, sound. CATEGORY: fans&cooling operationperformance, fans&cooling operationperformance. OPINION: annoying, annoying. SENTIMENT: negative, negative #####  . the fan can get annoying at times , and the sound is also quite annoying . ##### EAEO
ASPECT: battery life. CATEGORY: battery operationperformance. OPINION: null. SENTIMENT: positive #####  . battery life is right at 10 hours as advertised and the keyboard feels great when typing out emails . ##### EAIO
ASPECT: null. CATEGORY: laptop general. OPINION: pleased. SENTIMENT: positive #####  . i have been beyond pleased with this purchase over the last 45 days of use . ##### IAEO
ASPECT: product. CATEGORY: laptop quality. OPINION: null. SENTIMENT: negative #####  . i have only found 2 other recent reviews of this product that had the same problem ( go ahead and search for them in the reviews ) . ##### EAIO
ASPECT: hard drive. CATEGORY: harddisc operationperformance. OPINION: slow. SENTIMENT: negative #####  .. the hard drive is really slow . ##### EAEO
ASPECT: spec, hardware. CATEGORY: hardware general, hardware general. OPINION: great, great. SENTIMENT: positive, positive #####  . this spec is great hardware . ##### EAEO
ASPECT: keyboard. CATEGORY: keyboard designfeatures. OPINION: null. SENTIMENT: negative #####  , because it is opposite of what the OP wanted . instead of a backlight keyboard , he wanted a solid keyboard without the option to make it glow . ##### EAIO
ASPECT: screen. CATEGORY: display operationperformance. OPINION: null. SENTIMENT: negative #####  . screen maximum brightness is still not bright enough ##### EAIO
ASPECT: laptop. CATEGORY: laptop portability. OPINION: light. SENTIMENT: positive #####  . this laptop is light . ##### EAEO
ASPECT: trackpad, trackpad, trackpad. CATEGORY: keyboard operationperformance, keyboard operationperformance, keyboard operationperformance. OPINION: faulty, jerky, erratic. SENTIMENT: negative, negative, negative #####  . the trackpad is faulty and the movement is jerky and erratic . ##### EAEO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . this chromebook is my first time using the google play store and i have to say i ' m not sure i ' m sold just yet . ##### EAIO
ASPECT: ram. CATEGORY: memory usability. OPINION: null. SENTIMENT: positive #####  . i ' ve got all my android apps running smoothly , i use a bunch of android apps for work so i ' m probably biased , but i ' m really running about as many apps as i can possibly run , and it ' s not lagging . ram is not an issue . ##### EAIO
ASPECT: screen resolution. CATEGORY: display general. OPINION: great. SENTIMENT: positive #####  . the screen resolution is great . ##### EAEO
ASPECT: touchpad. CATEGORY: keyboard designfeatures. OPINION: strange. SENTIMENT: negative #####  . the touchpad feels strange . ##### EAEO
ASPECT: computer. CATEGORY: laptop general. OPINION: great. SENTIMENT: positive #####  . this is a great computer . ##### EAEO
ASPECT: device. CATEGORY: laptop general. OPINION: worse. SENTIMENT: negative #####  . this device has become worse with each passing day . ##### EAEO
ASPECT: machine, boots up. CATEGORY: laptop operationperformance, laptop operationperformance. OPINION: slow, slow. SENTIMENT: negative, negative #####  . the machine boots up and you get that nice shiny mac os x desktop , but it takes about 5 minutes to log in and start using the computer because it's so slow . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: decent. SENTIMENT: positive #####  . it is a decent computer for the price . ##### IAEO
ASPECT: plugs. CATEGORY: ports general. OPINION: good and bad. SENTIMENT: neutral #####  . the good news is that it has lots of plugs , including two usb 3 . ##### EAEO
ASPECT: ports, ports. CATEGORY: ports quality, ports quality. OPINION: decent, available. SENTIMENT: positive, positive #####  . a decent selection of ports are available , though only one is available on the left side . ##### EAEO
ASPECT: battery life. CATEGORY: battery general. OPINION: good. SENTIMENT: positive #####  . battery life is pretty good ( 8 hours plus ) . ##### EAEO
ASPECT: screenwriting app. CATEGORY: software general. OPINION: favorite. SENTIMENT: positive #####  . this is one of my favorite apps i use for screen writing . ##### EAEO
ASPECT: battery. CATEGORY: battery quality. OPINION: null. SENTIMENT: negative #####  . the battery is not as long lasting as i hoped . ##### EAIO
ASPECT: keyboard. CATEGORY: keyboard general. OPINION: confusing. SENTIMENT: negative #####  . the keyboard is confusing . ##### EAEO
ASPECT: chrombooks. CATEGORY: laptop general. OPINION: nicest. SENTIMENT: positive #####  . out of all the chromebooks that i have ever purchased , this has to be the nicest . ##### EAEO
ASPECT: unit. CATEGORY: laptop general. OPINION: pleasantly. SENTIMENT: positive #####  . i was very pleasantly surprised at the quality of this unit . ##### EAEO
ASPECT: usb ports, thunderbolt ports. CATEGORY: ports general, ports general. OPINION: null, null. SENTIMENT: negative, negative #####  . a dongle for usb ports and another for thunderbolt ports is not a solution . ##### EAIO
ASPECT: chrome. CATEGORY: os operationperformance. OPINION: null. SENTIMENT: negative #####  . the chrome browser was using all the cpu and video resources just to browse the internet . ##### EAIO
ASPECT: battery life. CATEGORY: battery operationperformance. OPINION: good. SENTIMENT: positive #####  . battery life is pretty good ( i get about 9 hours ) . ##### EAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: excelente. SENTIMENT: positive #####  . this is an excelente laptop . ##### EAEO
ASPECT: boot up. CATEGORY: os operationperformance. OPINION: damaged. SENTIMENT: negative #####  . the damaged boot up is why i am returning it . ##### EAEO
ASPECT: machine. CATEGORY: laptop general. OPINION: like. SENTIMENT: positive #####  . i like this machine . ##### EAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: excited. SENTIMENT: positive #####  . i ' m so excited to receive this laptop today ! ##### EAEO
ASPECT: c302, chrome os, chrome os. CATEGORY: laptop price, os general, os general. OPINION: respectable, best, premium. SENTIMENT: positive, positive, positive #####  . this puts the c302 in a respectable premium chrome os category that is currently dominated by the best that chrome os has to offer . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: perfect. SENTIMENT: positive #####  . this was perfect for my needs . ##### IAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: handy. SENTIMENT: positive #####  . it is very handy for looking up facts or translating words . ##### IAEO
ASPECT: audio. CATEGORY: multimediadevices operationperformance. OPINION: null. SENTIMENT: negative #####  . now the audio only comes out of the bottom of the device so the audio is muffled and difficult to hear . ##### EAIO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: great. SENTIMENT: positive #####  . it works great for internet browsing and e - mail but i was hoping for much more . ##### IAEO
ASPECT: screen, screen. CATEGORY: display designfeatures, display designfeatures. OPINION: clear, bright. SENTIMENT: positive, positive #####  . the screen is very clear and bright . ##### EAEO
ASPECT: battery life. CATEGORY: battery general. OPINION: great. SENTIMENT: positive #####  . the battery life is great ( i get about 9 hours ) . ##### EAEO
ASPECT: keypad. CATEGORY: keyboard designfeatures. OPINION: null. SENTIMENT: negative #####  . the keypad is right next to the power button . ##### EAIO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: fine. SENTIMENT: positive #####  . i ' ve used it to do some basic video editing , developing applications , and some gaming and it ' s handled it all fine . ##### IAEO
ASPECT: null. CATEGORY: laptop general. OPINION: perfect. SENTIMENT: positive #####  . it was perfect for everything i did . ##### IAEO
ASPECT: keyboard, caps lock, num lock. CATEGORY: keyboard designfeatures, keyboard designfeatures, keyboard designfeatures. OPINION: null, null, null. SENTIMENT: negative, negative, negative #####  . no backlight keyboard , caps lock without a led , num lock without a led , no audio out . ##### EAIO
ASPECT: touchpad. CATEGORY: hardware quality. OPINION: non - functioning. SENTIMENT: negative #####  . touchpad on my new asus hasn ' t worked from the beginning . ##### EAEO
ASPECT: null. CATEGORY: laptop general. OPINION: glad. SENTIMENT: positive #####  . i am sooooo glad i bought this one ! ##### IAEO
ASPECT: ethernet port. CATEGORY: ports designfeatures. OPINION: null. SENTIMENT: negative #####  . ethernet port is on the bottom of the chassis . ##### EAIO
ASPECT: ss hard drive. CATEGORY: harddisc operationperformance. OPINION: null. SENTIMENT: positive #####  . the ss hard drive also helps with loading times in games such as the witcher 3 and skyrim . ##### EAIO
ASPECT: null. CATEGORY: laptop general. OPINION: null. SENTIMENT: negative #####  . i would look elsewhere for a convertible chrombook , this one just doesn ' t quite live up expectactions . ##### IAIO
ASPECT: null, null. CATEGORY: laptop designfeatures, laptop designfeatures. OPINION: light, sturdy. SENTIMENT: positive, positive #####  . light but sturdy enough to travel in a purse without fear of damage . ##### IAEO
ASPECT: null, null. CATEGORY: laptop designfeatures, laptop designfeatures. OPINION: thinner, lighter. SENTIMENT: positive, positive #####  . it is thinner and lighter than expected . ##### IAEO
ASPECT: mousepad. CATEGORY: mouse usability. OPINION: comfortable. SENTIMENT: positive #####  . mousepad is comfortable for everyday use . ##### EAEO
ASPECT: keyboard. CATEGORY: keyboard usability. OPINION: inconvenient. SENTIMENT: negative #####  . keyboard inconvenient for frequent user . ##### EAEO
ASPECT: laptop. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: negative #####  . the laptop was working fine until just under 3 months of use when it bsod ' d and wouldn ' t turn back on . ##### EAIO
ASPECT: nano edge display. CATEGORY: display operationperformance. OPINION: nice. SENTIMENT: positive #####  . the nano edge display is nice . ##### EAEO
ASPECT: ssd. CATEGORY: harddisc quality. OPINION: null. SENTIMENT: negative #####  . if you want quick start up and have some extra money to spend , go ahead and get the ssd . ##### EAIO
ASPECT: keyboard, keyboard. CATEGORY: keyboard designfeatures, keyboard designfeatures. OPINION: small, tight. SENTIMENT: negative, negative #####  . the keyboard keys are a little small and the travel is a little tight . ##### EAEO
ASPECT: keyboard. CATEGORY: keyboard designfeatures. OPINION: weak. SENTIMENT: negative #####  . the keyboard is a weak point for me , i wish it had a backlight and the keys were a bit larger . ##### EAEO
ASPECT: asus vivobook f510ua. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: positive #####  . the asus vivobook f510ua does not skip a beat . ##### EAIO
ASPECT: power. CATEGORY: powersupply operationperformance. OPINION: null. SENTIMENT: positive #####  . with the power button being a haptic feedback button , there is actually more power in the device than i first thought . ##### EAIO
ASPECT: 15 inch screen. CATEGORY: display general. OPINION: love. SENTIMENT: positive #####  . i love the 15 inch screen , it makes working on documents and web design so much easier . ##### EAEO
ASPECT: charging adapter. CATEGORY: powersupply operationperformance. OPINION: null. SENTIMENT: negative #####  . The charging adapter has sparked on multiple occasions . ##### EAIO
ASPECT: usb - c ports. CATEGORY: ports operationperformance. OPINION: perfectly. SENTIMENT: positive #####  . usb - c ports charge perfectly . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: great. SENTIMENT: positive #####  . it has served me very well in my travels and is great for working on the go . ##### IAEO
ASPECT: speaker. CATEGORY: multimediadevices operationperformance. OPINION: null. SENTIMENT: positive #####  . the speaker is not that loud but it is sufficient for watching videos or listening to music in a quiet room . ##### EAIO
ASPECT: model. CATEGORY: cpu operationperformance. OPINION: enjoy. SENTIMENT: positive #####  . this model has enough power to enjoy some video editing and streaming content in the browser without taxing the system too much . ##### EAEO
ASPECT: laptop. CATEGORY: laptop operationperformance. OPINION: perfect. SENTIMENT: positive #####  . this laptop was perfect for my needs . ##### EAEO
ASPECT: android apps. CATEGORY: software operationperformance. OPINION: null. SENTIMENT: positive #####  . - many android apps work conditionally : e . ##### EAIO
ASPECT: laptop. CATEGORY: laptop operationperformance. OPINION: solid. SENTIMENT: positive #####  . this is a solid laptop for web browsing and basic notes . ##### EAEO
ASPECT: processor. CATEGORY: cpu operationperformance. OPINION: fast. SENTIMENT: positive #####  . the processor is very fast and doesn ' t start utilizing its full potential until you start doing things like installation of applications , etc . ##### EAEO
ASPECT: laptop, laptop. CATEGORY: laptop general, laptop price. OPINION: excellent, reasonable. SENTIMENT: positive, positive #####  . this is an excellent laptop for a reasonable price . ##### EAEO
ASPECT: null. CATEGORY: laptop operationperformance. OPINION: great. SENTIMENT: positive #####  . it ' s great other than the weak speakers and the touchpad . ##### IAEO
ASPECT: null. CATEGORY: laptop general. OPINION: worth. SENTIMENT: positive #####  . it is worth every bit of the high rating it has . ##### IAEO
ASPECT: battery. CATEGORY: battery general. OPINION: good. SENTIMENT: positive #####  . the battery is really good . ##### EAEO
ASPECT: screen. CATEGORY: display designfeatures. OPINION: below average. SENTIMENT: negative #####  . the screen has below average color coverage . ##### EAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: not worth. SENTIMENT: negative #####  . not worth the money . ##### EAEO
ASPECT: screen. CATEGORY: display general. OPINION: good. SENTIMENT: positive #####  . the screen is only pretty good . ##### EAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: horrible. SENTIMENT: negative #####  . this horrible laptop is my first time using the intel optane thing and it made everything slower and a bunch of apps didn ' t work . ##### EAEO
ASPECT: hardware, windows 10. CATEGORY: hardware general, os general. OPINION: excellent, nasty. SENTIMENT: positive, positive #####  . this excellent hardware + windows 10 nasty , but i ' ll learn to live with it . ##### EAEO
ASPECT: touchscreen. CATEGORY: display usability. OPINION: nice. SENTIMENT: positive #####  . the touchscreen is nice . ##### EAEO
ASPECT: laptop. CATEGORY: laptop general. OPINION: null. SENTIMENT: neutral #####  . i purchased this laptop on the 11th of june 2018 and today is the 25th , which means i have had it for just about 2 weeks . ##### EAIO
ASPECT: support. CATEGORY: support general. OPINION: null. SENTIMENT: negative #####  . i ' m in the us and they wanted to charge me $ 65 cad for diagnosis only , and then said it would be an additional estimated $ 450 for repair . ##### EAIO
ASPECT: computer, setup, setup. CATEGORY: laptop general, laptop usability, laptop usability. OPINION: great, fast, easy. SENTIMENT: positive, positive, positive #####  . the computer is great , fast , and easy to set up . ##### EAEO
ASPECT: screen. CATEGORY: display quality. OPINION: creak. SENTIMENT: negative #####  . screen creaks when i move my fingers across the top layer of the screen . ##### EAEO
ASPECT: chromeos, samsung, samsung. CATEGORY: laptop general, company general, company general. OPINION: null, null, null. SENTIMENT: negative, negative, negative #####  . chromeos is not matured in any way , samsung should be ashamed to put out a product with such a pathetic operating system . ##### EAIO
ASPECT: tablet mode, os, applications. CATEGORY: laptop general, os general, software general. OPINION: horribly, horribly, horribly. SENTIMENT: negative, negative, negative #####  . tablet mode is horribly implemented , the os is horribly implemented , and all the applications are horribly implemented . ##### EAEO
ASPECT: battery life. CATEGORY: battery general. OPINION: not good. SENTIMENT: negative #####  . not good battery life . ##### EAEO
ASPECT: null. CATEGORY: os designfeatures. OPINION: null. SENTIMENT: negative #####  . - it is very limited and the competition for an actual usable operating system that can do a lot more than just browse the internet , are available . ##### IAIO
ASPECT: hdmi. CATEGORY: ports quality. OPINION: null. SENTIMENT: negative #####  . it ' s not real fast and it doesn ' t have an ethernet connection so it ' s dependent on the wifi which is hit or miss depending on where in the house you are and it ' s not real quiet either as there is some background noise from the wifi and a hum from the computer itself and the sound is only good through the hdmi connection . ##### EAIO
ASPECT: apple. CATEGORY: company general. OPINION: null. SENTIMENT: negative #####  . apple told me that they ca n ' t order those screws so i basically threw my money away on this laptop . ##### EAIO
the harddisk constantly makes a knifelike grinding noise . ##### IAIO
ASPECT: macbook pro, power button, keyboard, trackpad. CATEGORY: laptop general, hardware general, keyboard quality, hardware quality. OPINION: null, null, null, null. SENTIMENT: negative, neutral, negative, negative #####  . the macbook pro looked and felt like a cheap knockoff of a samsung laptop , the power button on the side was a terrible idea , the keyboard was cheap and flimsy , the trackpad was a terrible , uncomfortable , clickless design . ##### EAIO
ASPECT: display, display. CATEGORY: display designfeatures, display designfeatures. OPINION: vibrant, excellent. SENTIMENT: positive, positive #####  . the vibrant display is excellent for both working and playing . ##### EAEO
ASPECT: screen resolution. CATEGORY: display operationperformance. OPINION: good. SENTIMENT: positive #####  . screen resolution is good . ##### EAEO
ASPECT: null, null, null, null. CATEGORY: laptop designfeatures, laptop designfeatures, laptop designfeatures, laptop general. OPINION: thin, light, surprised, nice. SENTIMENT: positive, positive, positive, positive #####  . it is thin and light , and i was surprised at the nice size of the screen . ##### IAEO
ASPECT: model. CATEGORY: laptop price. OPINION: like. SENTIMENT: positive #####  . i like this model because it is within my budget . ##### EAEO
ASPECT: null. CATEGORY: laptop quality. OPINION: null. SENTIMENT: negative #####  . i bought 2 , one stopped working after 9 months , was sent for ` ` repair ` ` it wasn ' t came right back with the same issue . ##### IAIO
ASPECT: computer. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: negative #####  . the computer was used very little and the battery died after 2 months . ##### EAIO
ASPECT: keyboard. CATEGORY: keyboard miscellaneous. OPINION: not healthy. SENTIMENT: negative #####  . constant use of the keyboard is not healthy for my hands / wrist . ##### EAEO
ASPECT: purchase. CATEGORY: laptop general. OPINION: satisfied. SENTIMENT: positive #####  . i am fully satisfied with this purchase and would recommend it to anyone who wants a simple , lightweight laptop for web browsing and basic notes . ##### EAEO
ASPECT: battery life. CATEGORY: battery general. OPINION: null. SENTIMENT: neutral #####  . battery life is around 4 to 7 hours depending on what i ' m doing . ##### EAIO
ASPECT: keyboard. CATEGORY: keyboard designfeatures. OPINION: null. SENTIMENT: positive #####  . the 2015 version has the old keyboard with keys that you can actually type on without the fear of a typo every other word . ##### EAIO
ASPECT: touch screen. CATEGORY: display quality. OPINION: null. SENTIMENT: negative #####  . the touch screen never seemed to work properly and now i understand why . ##### EAIO
ASPECT: battery life, keyboard. CATEGORY: battery general, keyboard operationperformance. OPINION: good, great. SENTIMENT: positive, positive #####  . battery life is really good , and the keyboard feels great to type on . ##### EAEO
ASPECT: chromebook. CATEGORY: laptop general. OPINION: brilliant. SENTIMENT: positive #####  . this chromebook is brilliant . ##### EAEO
ASPECT: design. CATEGORY: laptop designfeatures. OPINION: sleek. SENTIMENT: positive #####  . the design is sleek and modern . ##### EAEO
ASPECT: computer. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: negative #####  . the computer was used very little and stopped working after 6 months . ##### EAIO
ASPECT: android app. CATEGORY: software designfeatures. OPINION: disappointed. SENTIMENT: negative #####  . i ' m very disappointed with the android app . ##### EAEO
ASPECT: battery life, samsung, display, software. CATEGORY: battery general, laptop operationperformance, display general, software general. OPINION: null, null, null, null. SENTIMENT: positive, positive, positive, positive #####  . battery life is usually aSamung ' s biggest weakness but they ' ve greatly improved it on this model and the software is finally at a point where it ' s actually usable for everyday tasks like web browsing and typing documents . ##### EAIO
ASPECT: null, null. CATEGORY: laptop designfeatures, laptop designfeatures. OPINION: sleek, beautiful. SENTIMENT: positive, positive #####  . it ' s sleek and beautiful . ##### IAEO
ASPECT: app. CATEGORY: software designfeatures. OPINION: null. SENTIMENT: negative #####  . i use some other note app for my daily notes and to - do list because this app doesn ' t allow me to easily add items to a to - do list within a note . ##### EAIO
ASPECT: computer. CATEGORY: laptop price. OPINION: best. SENTIMENT: positive #####  . this computer is the best for the price in my opinion . ##### EAEO
ASPECT: chromebook, chromebook. CATEGORY: laptop operationperformance, laptop operationperformance. OPINION: speedy, great. SENTIMENT: positive, positive #####  . this chromebook is speedy and does a great job rendering pages . ##### EAEO
ASPECT: null. CATEGORY: laptop quality. OPINION: pleased. SENTIMENT: positive #####  . i have been beyond pleased with the quality of this purchase . ##### IAEO
ASPECT: machine. CATEGORY: laptop operationperformance. OPINION: null. SENTIMENT: negative #####  . if you want to watch movies or listen to music , this might not be the machine for you . ##### EAIO
